,latitude,longitude
2068,48.091193 ,11.646332
2069,25.54389 ,-103.41898
2070,51.068049 ,13.779595
2071,45.16667 ,15.5
2075,46.946512 ,7.434997
2076,48.307714 ,-121.625498
2078,48.110578 ,11.450668
2080,39.515187 ,-0.447579
2081,48.829077 ,2.237703
2083,50.985836 ,-0.273958
2084,40.62976 ,-91.31515
2086,-1.407638 ,5.625103
2087,38.46806 ,106.27306
2090,51.021146 ,-3.064519
2091,41.386559 ,2.172194
2092,53.843201 ,10.661281
2093,50.459621 ,3.929831
2098,29.563537 ,-98.316014
2099,45.52395 ,-122.682675
2102,22.97104 ,-98.95242
2104,-31.534737 ,-68.533931
2106,22 ,-102.5
2107,47.711794 ,6.946325
2109,39.9781 ,-85.08802
2114,39.91678 ,-75.38769
2115,3.406686 ,11.918485
2122,22 ,-102.5
2125,39.64472 ,-94.73996
2131,40.255864 ,-103.622412
2132,40.91534 ,-81.10593
2133,-15.763386 ,-47.88108
2136,25 ,45
2138,40 ,-4
2141,-37.7 ,145.18333
2142,41.94514 ,25.07868
2143,45.5867 ,5.16286
2145,-26.828806 ,-65.208318
2148,54.326624 ,10.105359
2149,18.596157 ,73.687473
2150,52.507568 ,13.391332
2151,12.832143 ,80.223782
2153,48.555132 ,12.743875
2154,45.339841 ,-75.910723
2155,29.961078 ,-81.340501
2156,30.04479 ,-98.039313
2158,52.498252 ,-2.002874
2159,38.46806 ,106.27306
2160,15.760691 ,43.686232
2161,47.852823 ,1.911113
2162,43.569326 ,1.38676
2163,33.588178 ,-100.217897
2164,40.393715 ,-3.676087
2165,40.416024 ,-3.696213
2168,29.88628 ,-95.494941
2169,40 ,-4
2170,36.718612 ,-4.496911
2177,41.412355 ,2.197328
2178,37.540601 ,-5.079589
2179,12.4989 ,124.6377
2185,54.155568 ,38.1775
2187,41.406739 ,2.132058
2190,33.703837 ,72.978521
2191,41.395942 ,2.149939
2192,54.247107 ,-3.253915
2193,38.09032 ,-92.29267
2194,39.78373 ,-100.445882
2195,14.18455 ,12.003467
2196,41.311421 ,19.446037
2197,41.82046 ,1.86768
2199,43.451896 ,-3.871985
2201,18.833333 ,-98
2202,43.599429 ,-116.21314
2207,38.09032 ,-92.29267
2208,40.445524 ,-3.656695
2210,41.396587 ,2.15164
2216,41.394306 ,2.152455
2217,41.611129 ,0.6272
2220,-36.846418 ,174.761639
2222,-13.716985 ,-76.205805
2223,52.171533 ,20.973048
2229,45.154542 ,-64.398833
2230,39.029027 ,-96.829684
2232,51.450806 ,-1.047016
2234,42.83333 ,12.83333
2237,40 ,-4
2241,28.486359 ,-16.317929
2243,49.95972 ,11.91072
2244,41.400178 ,2.191572
2245,40.483359 ,-3.667923
2246,33.374755 ,130.194511
2252,-12.162391 ,-76.997239
2254,40.927641 ,-8.572243
2255,40 ,-4
2256,40 ,-4
2259,41.397742 ,2.200686
2262,-15.244396 ,-40.24283
2265,40 ,-4
2268,41.396109 ,2.15224
2269,34.51147 ,-110.079608
2273,45.786731 ,4.813551
2274,40 ,-4
2275,-37.7 ,145.18333
2277,32 ,-6
2278,5.26176 ,-0.75897
2282,46.768653 ,17.655604
2284,43.045331 ,-9.246803
2286,51.478049 ,-0.607207
2288,-37.786167 ,144.8908
2289,44.843169 ,-93.440391
2291,44.396444 ,-71.4396
2294,41.382788 ,2.142822
2296,43.597919 ,1.395703
2301,40 ,-4
2302,31.205963 ,16.583621
2303,50.881401 ,4.28982
2309,-20.463137 ,-41.414873
2310,9.427095 ,49.002487
2314,37.598532 ,-93.431586
2315,41.395983 ,2.196867
2317,-9.42547 ,147.111654
2319,38.09032 ,-92.29267
2320,31.31517 ,-85.85522
2322,40.883642 ,0.804529
2326,40 ,-4
2330,51.068049 ,13.779595
2332,45.14914 ,11.82057
2334,48.16667 ,15.08333
2336,6.996299 ,-9.471709
2342,48.849147 ,2.352669
2345,8.5 ,-11.5
2347,36.983414 ,-122.056168
2348,47.269234 ,11.182966
2350,50.857585 ,5.809624
2352,49.711287 ,-54.059949
2353,46.946512 ,7.434997
2355,38.46806 ,106.27306
2356,41.36169 ,-83.62299
2357,25 ,45
2359,38.46806 ,106.27306
2362,4.25 ,-74.18333
2369,41.689785 ,-73.022303
2370,43.570125 ,17.874871
2372,36.223189 ,43.992625
2374,53.566578 ,9.965491
2376,48.315259 ,14.305121
2378,38.46806 ,106.27306
2380,8.616696 ,-13.198092
2383,49.170979 ,-66.334046
2384,44.375875 ,7.522388
2385,-22.47 ,-43.82556
2386,51.315348 ,9.539097
2387,52.275113 ,-1.547099
2388,9.598 ,138.1665
2390,44.632531 ,-93.371892
2391,19.426399 ,-99.170338
2392,50.451827 ,30.525852
2398,-26.891587 ,-49.085871
2401,48.110578 ,11.450668
2402,41.135892 ,0.651719
2403,42.392616 ,-71.259491
2405,40.107509 ,-89.376854
2407,47.451068 ,8.565125
2409,51.465532 ,-0.213083
2411,-22.854586 ,-47.049094
2415,50.969546 ,-0.883874
2417,55.763682 ,37.642162
2419,-34.623945 ,-58.427
2420,42.242865 ,-83.744346
2423,55.857808 ,48.819654
2426,49.51281 ,5.935415
2428,48.829077 ,2.237703
2430,52.504678 ,13.449021
2431,-11.924823 ,-77.083473
2433,38.750319 ,-91.966016
2436,38.46806 ,106.27306
2437,47.390891 ,8.055779
2440,50.985836 ,-0.273958
2442,40.62976 ,-91.31515
2443,37.230614 ,-94.831904
2444,48.841691 ,2.242722
2445,49.964436 ,11.603404
2448,47.796439 ,9.624863
2451,48.034551 ,11.587031
2453,48.864212 ,2.360936
2457,26.493888 ,127.865372
2458,47.23333 ,22.65
2460,25.029422 ,-77.361956
2462,46.379475 ,11.106842
2463,52.25 ,5.75
2464,48.355657 ,9.915378
2466,38.46806 ,106.27306
2469,40 ,-4
2472,25.029422 ,-77.361956
2475,49.459294 ,9.889831
2477,50.459621 ,3.929831
2478,6.89359 ,80.596756
2479,47.107771 ,-101.352449
2481,46.263781 ,8.696755
2485,-23.26536 ,-45.892858
2491,-3.20333 ,-52.20639
2492,8.5 ,-11.5
2495,23.504868 ,72.41884
2496,47.449561 ,8.56496
2500,37.09784 ,41.4322
2504,33.5102 ,36.29128
2505,8.5 ,-11.5
2508,33.7208 ,-117.75168
2509,40.558449 ,-8.413426
2513,52.845879 ,8.040395
2514,49.474632 ,8.509317
2515,47.5253 ,18.993636
2516,52.854463 ,-119.246012
2518,52.388861 ,9.749965
2524,46.762732 ,-56.177695
2526,38.46806 ,106.27306
2531,41.695095 ,2.509612
2533,52.079298 ,4.354722
2535,30.893878 ,-82.692347
2537,48.944688 ,8.381103
2543,35.679283 ,139.80956
2544,55.835634 ,37.954136
2546,50.645268 ,6.922865
2548,53.540602 ,14.552663
2549,48.190028 ,16.351035
2550,36.168268 ,-86.779651
2553,13.007822 ,77.564494
2562,30.632654 ,-88.073234
2564,-26.672146 ,153.096088
2569,35.609479 ,140.305566
2576,8.5 ,-11.5
2583,34.23314 ,-102.41075
2586,8.5 ,-11.5
2592,37.942583 ,23.645261
2593,13.042322 ,77.529426
2598,13.16667 ,-59.53333
2601,39.322584 ,-76.608112
2606,46 ,2
2608,58.555202 ,26.712397
2609,43.233655 ,-2.764133
2610,-0.279479 ,-78.467519
2612,53.785571 ,-3.046295
2616,50.658549 ,6.694074
2617,36.052257 ,-102.002399
2620,22 ,-102.5
2622,8.5 ,-11.5
2623,40 ,-4
2626,51.537422 ,-0.061001
2627,-2.91673 ,104.7458
2630,-34.57016 ,-58.450006
